,id,Name,engName,Area
1,466880,板橋,BANQIAO,新北市
2,466900,淡水,TAMSUI,新北市
3,466910,鞍部,ANBU,臺北市
4,466920,臺北,TAIPEI,臺北市
5,466930,竹子湖,ZHUZIHU,臺北市
6,466940,基隆,KEELUNG,基隆市
7,466950,彭佳嶼,PENGJIAYU,基隆市
8,466990,花蓮,HUALIEN,花蓮縣
9,467050,新屋,XINWU,桃園市
10,467060,蘇澳,SU-AO,宜蘭縣
11,467080,宜蘭,YILAN,宜蘭縣
12,467110,金門,KINMEN,金門縣
13,467300,東吉島,DONGJIDAO,澎湖縣
14,467350,澎湖,PENGHU,澎湖縣
15,467410,臺南,TAINAN,臺南市
16,467420,永康,YONGKANG,臺南市
17,467440,高雄,KAOHSIUNG,高雄市
18,467480,嘉義,CHIAYI,嘉義市
19,467490,臺中,TAICHUNG,臺中市
20,467530,阿里山,ALISHAN,嘉義縣
21,467540,大武,DAWU,臺東縣
22,467550,玉山,YUSHAN,南投縣
23,467571,新竹,HSINCHU,新竹縣
24,467590,恆春,HENGCHUN,屏東縣
25,467610,成功,CHENGGONG,臺東縣
26,467620,蘭嶼,LANYU,臺東縣
27,467650,日月潭,SUN MOON LAKE,南投縣
28,467660,臺東,TAITUNG,臺東縣
29,467770,梧棲,WUQI,臺中市
30,467990,馬祖,MATSU,連江縣
31,C0A520,山佳,Shanjia,新北市
32,C0A530,坪林,Pinglin,新北市
33,C0A540,四堵,Sihdu,新北市
34,C0A550,泰平,Taiping,新北市
35,C0A560,福山,Fushan,新北市
36,C0A570,桶後,Tonghou,新北市
37,C0A580,屈尺,Cyuchih,新北市
38,C0A640,石碇,Shihding,新北市
39,C0A650,火燒寮,Huoshaoliao,新北市
40,C0A660,瑞芳,Rueifang,新北市
41,C0A860,大坪,Daping,新北市
42,C0A870,五指山,Wujhihshan,新北市
43,C0A880,福隆,Fulong,新北市
44,C0A890,雙溪,Shuangsi,新北市
45,C0A920,富貴角,Fugueijiao,新北市
46,C0A931,三和,Sanhe,新北市
47,C0A940,金山,Jinshan,新北市
48,C0A950,鼻頭角,Bitoujiao,新北市
49,C0A970,三貂角,Sandiaojiao,新北市
50,C0A980,社子,Shezih,臺北市
51,C0A9A0,大直,Dazhi,臺北市
52,C0A9B0,石牌,Shipai,臺北市
53,C0A9C0,天母,Tianmu,臺北市
54,C0A9E0,士林,Shihlin,臺北市
55,C0A9F0,內湖,Neihu,臺北市
56,C0A9G0,南港,Nangang,臺北市
57,C0A9I1,三重,Sanchong,新北市
58,C0AC40,大屯山,Datunshan,臺北市
59,C0AC60,三峽,Sanshia,新北市
60,C0AC70,信義,Xinyi,臺北市
61,C0AC80,文山,Wenshan,臺北市
62,C0ACA0,新莊,Xinzhuang,新北市
63,C0AD00,三芝,Sanzhi,新北市
64,C0AD10,八里,Bali,新北市
65,C0AD20,深坑,Shenkeng,新北市
66,C0AD30,蘆洲,Lujhou,新北市
67,C0AD40,土城,Tucheng,新北市
68,C0AD50,鶯歌,Yingge,新北市
69,C0AG90,中和,Zhonghe,新北市
70,C0AH00,汐止,Xizhi,新北市
71,C0AH10,永和,Yonghe,新北市
72,C0AH30,五分山,Wufengshan,新北市
73,C0AH40,平等,Pingdeng,臺北市
74,C0AH50,林口,Linkou,新北市
75,C0C460,復興,Fuxing,桃園市
76,C0C480,桃園,Taoyuan,桃園市
77,C0C490,八德,Bade,桃園市
78,C0C520,中壢,Zhongli (NCU),桃園市
79,C0C540,埔心,Pushin,桃園市
80,C0C590,觀音,Guanyin,桃園市
81,C0C620,蘆竹,Luzhu,桃園市
82,C0C630,大溪,Dasi,桃園市
83,C0C640,龜山,Gueishan,桃園市
84,C0C650,平鎮,Pingjhen,桃園市
85,C0C660,楊梅,Yangmei,桃園市
86,C0C670,龍潭,Longtan,桃園市
87,C0D360,梅花,Meihua,新竹縣
88,C0D390,關西,Guanxi,新竹縣
89,C0D430,峨眉,Emei,新竹縣
90,C0D480,打鐵坑,Datiekeng,新竹縣
91,C0D540,橫山,Hengshan,新竹縣
92,C0D550,雪霸,Xueba,新竹縣
93,C0D560,竹東,Zhudong,新竹縣
94,C0D570,香山,Siangshan,新竹市
95,C0D580,寶山,Baoshan,新竹縣
96,C0D590,新豐,Sinfong,新竹縣
97,C0D650,湖口,Hukou,新竹縣
98,C0D660,新竹市東區,"Dongqu, Hsinshu City",新竹市
99,C0E420,竹南,Jhunan,苗栗縣
100,C0E430,南庄,Nanzhuang,苗栗縣
101,C0E520,大湖,Dahu,苗栗縣
102,C0E530,三義,Sanyi,苗栗縣
103,C0E540,後龍,Houlong,苗栗縣
104,C0E550,明德,Mingde,苗栗縣
105,C0E590,通霄,Tucheng,苗栗縣
106,C0E610,馬都安,Madu-an,苗栗縣
107,C0E730,頭份,Toufen,苗栗縣
108,C0E740,造橋,Zaoqiao,苗栗縣
109,C0E750,苗栗,Miaoli,苗栗縣
110,C0E780,銅鑼,Tongluo,苗栗縣
111,C0E790,卓蘭,Zhuolan,苗栗縣
112,C0E810,西湖,Xihu,苗栗縣
113,C0E820,獅潭,Shitan,苗栗縣
114,C0E830,苑裡,YUANLI,苗栗縣
115,C0E850,大河,Dahe,苗栗縣
116,C0E860,觀霧2,Kuang-Wu2,苗栗縣
117,C0F000,大肚,Dadu,臺中市
118,C0F0A0,雪山圈谷,Xueshanjuangu,臺中市
119,C0F0B0,石岡,Shigang,臺中市
120,C0F850,東勢,Dongshi,臺中市
121,C0F861,梨山,Lishan,臺中市
122,C0F900,雙崎,Shuangci,臺中市
123,C0F930,大甲,Dajia,臺中市
124,C0F970,大坑,Dakeng,臺中市
125,C0F9A0,中竹林,Zhongzhulin,臺中市
126,C0F9I0,神岡,Shengang,臺中市
127,C0F9K0,大安,Da-an,臺中市
128,C0F9L0,后里,Houli,臺中市
129,C0F9M0,豐原,Fengyuan,臺中市
130,C0F9N0,大里,Dali,臺中市
131,C0F9O0,潭子,Tanzi,臺中市
132,C0F9P0,清水,Qingshui,臺中市
133,C0F9Q0,外埔,Waipu,臺中市
134,C0F9R0,龍井,Longjing,臺中市
135,C0F9S0,烏日,Wuri,臺中市
136,C0F9T0,西屯,Xitun,臺中市
137,C0F9U0,南屯,Nantun,臺中市
138,C0F9V0,新社,Xinshe,臺中市
139,C0F90,大雅(中科園區),Daya,臺中市
140,C0F9Y0,桃山,Taoshan,臺中市
141,C0F9Z0,雪山東峰,Xueshandongfeng,臺中市
142,C0G620,芬園,Fenyuan,彰化縣
143,C0G640,鹿港,Lukang,彰化縣
