st_id,st_name,lng,lat
C0E830,苑裡,120.653053,24.439714
C1I250,埔里,120.991131,23.961922
C1I190,水長流,120.860464,24.061828
C1I260,北坑,121.006903,23.9246
C1I270,水里,120.854092,23.831978
C1I280,埔中,120.642594,23.820778
C1I290,豐丘,120.887417,23.668178
C1I300,上安橋,120.873836,23.728253
C1I310,西巒,120.883956,23.754486
C1I320,奧萬大,121.178494,23.952983
C1I330,楓樹林,121.076117,23.986803
C1I340,新興橋,120.868728,23.563333
C1I350,東埔,120.925108,23.5563
C1I220,樟湖,120.846983,23.905333
C1I230,九份二山,120.845272,23.962025
C1I240,外大坪,120.917931,23.958697
C1F9C0,白冷,120.929889,24.182844
C0F9A0,中竹林,120.751061,24.103556
C1F9J0,清水林,120.820419,24.071242
C1F9B0,桐林,120.735194,24.066172
C1F9D0,白毛台,120.886933,24.158325
C1F9E0,龍安,120.831961,24.1605
C1F9F0,伯公龍,120.849047,24.272392
C1E680,南勢山,120.923831,24.421669
C1E690,南湖,120.837533,24.40135
C1E700,八卦,120.927619,24.491756
C1E710,馬拉邦山,120.901656,24.367306
C1E720,泰安,120.968036,24.489017
C1F9G0,慶福山,120.848378,24.180853
C1F9H0,烏石坑,120.945811,24.279058
C1I200,中心崙,120.712097,23.728722
C1I210,蘆竹湳,120.811994,23.934019
C0F9N0,大里,120.701378,24.092464
C0F9S0,烏日,120.624103,24.107058
C0F9T0,西屯,120.641275,24.179494
C0F9U0,南屯,120.637969,24.137006
C0G770,福興,120.437669,24.041289
C0G780,秀水,120.503869,24.03405
C0G800,埔鹽,120.431683,24.000394
C0G810,埔心,120.525456,23.947633
C0G820,田尾,120.509389,23.901669
C0G830,埤頭,120.452806,23.866003
C0G840,北斗,120.514222,23.877586
C0G850,田中,120.588261,23.856778
C0G860,社頭,120.5862,23.897647
C0G880,二水,120.6173,23.810742
C0G870,芳苑,120.320025,23.922303
C0E740,造橋,120.864778,24.637056
C0D360,梅花,121.208558,24.678347
C1A630,下盆,121.538622,24.771003
C0A560,福山,121.502811,24.776203
C0A530,坪林,121.709378,24.938203
C0A540,四堵,121.745894,24.892761
C0A550,泰平,121.823711,24.971197
C0AG90,中和,121.490444,24.992647
C1D380,新埔,121.038344,24.847447
C0D430,峨眉,121.017189,24.6905
C0E440,大河,120.94685,24.617281
C0E420,竹南,120.888897,24.708978
C0E430,南庄,121.000214,24.601775
C1A730,公館,121.539539,25.014372
C0A680,五股,121.434975,25.083353
C0A870,五指山,121.608692,25.132153
C1D420,太閣南,121.160575,24.632808
C1A9N0,四十份,121.593283,24.934158
C0AH00,汐止,121.658778,25.066881
C1E670,南礦,121.002836,24.538278
C0AC60,三峽,121.369728,24.939025
C0AC70,信義,121.564597,25.037822
C0AC80,文山,121.575728,25.00235
C0ACA0,新莊,121.446756,25.051478
C1AC50,關渡,121.469331,25.133486
C0A710,林口,121.378217,25.076364
C0A520,山佳,121.402008,24.974944
C0A920,富貴角,121.565258,25.263783
C0A580,屈尺,121.546333,24.922422
C0A570,桶後,121.597992,24.848222
C0A660,瑞芳,121.801147,25.113169
C0A880,福隆,121.942083,25.017842
C0A890,雙溪,121.864242,25.036003
C0A950,鼻頭角,121.923372,25.129036
C0A860,大坪,121.632969,25.165914
C0A930,三和,121.594558,25.234633
C0A940,金山,121.643967,25.223628
C0A640,石碇,121.662931,24.993858
C0A650,火燒寮,121.742892,25.002719
C0C460,復興,121.352281,24.820208
C0C540,埔心,121.225958,25.04775
C0C480,桃園,121.323172,24.992425
C1C510,水尾,121.087161,24.940081
C0C520,中壢,121.185253,24.967564
C0C490,八德,121.283289,24.928708
C0D390,關西,121.173947,24.798228
C1D400,鳥嘴山,121.283872,24.719092
C1D410,白蘭,121.079947,24.579364
C0A9A0,大直,121.542853,25.078047
C0A9F0,內湖,121.57545,25.079422
C0A9G0,南港,121.602906,25.055431
C0A990,大崙尾山,121.573586,25.106275
C0A9I0,三重,121.488492,25.056667
C0A9B0,石牌,121.513817,25.116342
C0A9C0,天母,121.537169,25.117494
C0A9E0,士林,121.503019,25.090253
C0A980,社子,121.469681,25.109508
C0AC40,大屯山,121.522408,25.175675
C0AD00,三芝,121.501917,25.258131
C0AD10,八里,121.403947,25.150211
C0AD20,深坑,121.617556,25.001381
C0AD30,蘆洲,121.472331,25.086594
C0AD40,土城,121.445169,24.973208
C0AD50,鶯歌,121.346294,24.951533
C0AH10,永和,121.508111,25.01125
C1F940,雪嶺,121.026642,24.280586
C0H9C0,合歡山,121.272547,24.143442
C1H940,雙冬,120.802189,23.967378
C0H950,中寮,120.766406,23.884447
C0F970,大坑,120.722289,24.173142
C1I100,溪頭,120.807647,23.661789
C1K230,西螺,120.452556,23.804439
C1G690,下水埔,120.5676,23.816114
C1G630,彰化,120.554681,24.079131
C0G660,溪湖,120.479122,23.94835
C1G670,溪州,120.495911,23.848231
C1G700,中西,120.352189,23.882031
C0F000,大肚,120.572117,24.15295
C0G710,台西,120.2798,23.848489
C0I090,鳳凰,120.787347,23.728081
C0G640,鹿港,120.430481,24.0753
C0G650,員林,120.585597,23.946503
C0H960,草屯,120.68085,23.973672
C0G620,芬園,120.6213,24.015678
C1H970,六分寮,120.637958,23.924986
C0F990,橫山,120.607306,24.219111
C0D480,打鐵坑,121.150789,24.849664
C1F890,稍來,121.005628,24.263456
C0F850,東勢,120.833047,24.246428
C1F870,上谷關,121.018644,24.203483
C1H9B0,阿眉,120.994672,24.1263
C1E450,象鼻,120.940228,24.368617
C1E460,松安,120.986022,24.397972
C0F860,梨山,121.243669,24.247522
C1I120,大鞍,120.760017,23.678381
C1I130,桶頭,120.654117,23.641944
C0I110,竹山,120.688156,23.761225
C0K240,草嶺,120.693461,23.59555
C1E480,鳳美,121.034747,24.554803
C0E610,馬都安,120.930192,24.451272
C1F910,新伯公,120.841069,24.221361
C0F920,石岡,120.770267,24.280117
C1E510,新開,120.827019,24.347703
C0E520,大湖,120.870872,24.414939
C0E540,後龍,120.783933,24.606489
C0E550,明德,120.885411,24.583486
C0F930,大甲,120.640403,24.347667
C0E590,通霄,120.704622,24.471892
C1E600,南勢,120.734842,24.572486
C0F900,雙崎,120.904267,24.288581
C0E530,三義,120.765972,24.410933
C0F9I0,神岡,120.658314,24.272481
C0E790,卓蘭,120.824753,24.312764
C0F9V0,新社,120.815806,24.200172
C1E770,公館,120.830806,24.526914
C1H880,凌霄,121.014883,24.016786
C1H900,清流,120.962997,24.080775
C1H920,長福,120.879897,24.102039
C1H890,大肚城,120.952272,23.970944
C1H930,北山,120.874758,23.985331
C1H910,魚池,120.92905,23.900897
C1I030,武界,121.052483,23.913225
C1I040,文文社,120.993467,23.849319
C1I160,龍神橋,120.871547,23.779881
C1I170,集集,120.775006,23.826353
C1I150,青雲,120.949378,23.793361
C1I070,和社,120.888861,23.591131
C1I080,信義,120.851036,23.689694
C1I060,望鄉,120.928178,23.619086
C1I050,丹大,121.141147,23.753747
C1I140,卡奈托灣,121.087872,23.754364
C1H850,翠巒,121.226581,24.192864
