"","Hour","variable","value"
"200",8,"2016-10-09","95"
"201",9,"2016-10-09","97"
"202",10,"2016-10-09","97"
"203",11,"2016-10-09","96"
"204",12,"2016-10-09","96"
"205",13,"2016-10-09","96"
"206",14,"2016-10-09","94"
"207",15,"2016-10-09","94"
"208",16,"2016-10-09","94"
"209",17,"2016-10-09","94"
"210",18,"2016-10-09","95"
"211",19,"2016-10-09","96"
"212",20,"2016-10-09","97"
"213",21,"2016-10-09","96"
"214",22,"2016-10-09","95"
"215",23,"2016-10-09","94"
"216",24,"2016-10-09","94"
"217",1,"2016-10-10","X"
"218",2,"2016-10-10","95"
"219",3,"2016-10-10","96"
"220",4,"2016-10-10","96"
"221",5,"2016-10-10","97"
"222",6,"2016-10-10","96"
"223",7,"2016-10-10","97"
"224",8,"2016-10-10","96"
"225",9,"2016-10-10","97"
"226",10,"2016-10-10","97"
"227",11,"2016-10-10","95"
"228",12,"2016-10-10","89"
"229",13,"2016-10-10","82"
"230",14,"2016-10-10","77"
"231",15,"2016-10-10","73"
"232",16,"2016-10-10","73"
"233",17,"2016-10-10","80"
"234",18,"2016-10-10","88"
"235",19,"2016-10-10","91"
"236",20,"2016-10-10","93"
"237",21,"2016-10-10","95"
"238",22,"2016-10-10","95"
"239",23,"2016-10-10","96"
"240",24,"2016-10-10","97"
"241",1,"2016-10-11","97"
"242",2,"2016-10-11","97"
"243",3,"2016-10-11","97"
"244",4,"2016-10-11","97"
"245",5,"2016-10-11","98"
"246",6,"2016-10-11","98"
"247",7,"2016-10-11","98"
"248",8,"2016-10-11","97"
"249",9,"2016-10-11","86"
"250",10,"2016-10-11","82"
"251",11,"2016-10-11","74"
"252",12,"2016-10-11","70"
"253",13,"2016-10-11","65"
"254",14,"2016-10-11","61"
"255",15,"2016-10-11","71"
"256",16,"2016-10-11","74"
"257",17,"2016-10-11","91"
"258",18,"2016-10-11","92"
"259",19,"2016-10-11","95"
"260",20,"2016-10-11","96"
"261",21,"2016-10-11","98"
"262",22,"2016-10-11","98"
"263",23,"2016-10-11","98"
"264",24,"2016-10-11","98"
"265",1,"2016-10-12","98"
"266",2,"2016-10-12","98"
"267",3,"2016-10-12","98"
"268",4,"2016-10-12","98"
"269",5,"2016-10-12","98"
"270",6,"2016-10-12","98"
"271",7,"2016-10-12","98"
"272",8,"2016-10-12","98"
"273",9,"2016-10-12","86"
"274",10,"2016-10-12","79"
"275",11,"2016-10-12","71"
"276",12,"2016-10-12","66"
"277",13,"2016-10-12","67"
"278",14,"2016-10-12","65"
"279",15,"2016-10-12","63"
"280",16,"2016-10-12","68"
"281",17,"2016-10-12","73"
"282",18,"2016-10-12","82"
"283",19,"2016-10-12","86"
"284",20,"2016-10-12","88"
"285",21,"2016-10-12","90"
"286",22,"2016-10-12","92"
"287",23,"2016-10-12","93"
"288",24,"2016-10-12","95"
"289",1,"2016-10-13","97"
"290",2,"2016-10-13","97"
"291",3,"2016-10-13","97"
"292",4,"2016-10-13","97"
"293",5,"2016-10-13","98"
"294",6,"2016-10-13","97"
"295",7,"2016-10-13","98"
"296",8,"2016-10-13","92"
"297",9,"2016-10-13","84"
"298",10,"2016-10-13","75"
"299",11,"2016-10-13","74"
"300",12,"2016-10-13","65"
"301",13,"2016-10-13","63"
"302",14,"2016-10-13","60"
"303",15,"2016-10-13","65"
"304",16,"2016-10-13","74"
"305",17,"2016-10-13","77"
"306",18,"2016-10-13","82"
"307",19,"2016-10-13","82"
"308",20,"2016-10-13","87"
"309",21,"2016-10-13","91"
"310",22,"2016-10-13","92"
"311",23,"2016-10-13","94"
"312",24,"2016-10-13","97"
"313",1,"2016-10-14","97"
"314",2,"2016-10-14","98"
"315",3,"2016-10-14","97"
"316",4,"2016-10-14","98"
"317",5,"2016-10-14","98"
"318",6,"2016-10-14","98"
"319",7,"2016-10-14","97"
"320",8,"2016-10-14","88"
"321",9,"2016-10-14","79"
"322",10,"2016-10-14","78"
"323",11,"2016-10-14","68"
"324",12,"2016-10-14","69"
"325",13,"2016-10-14","64"
"326",14,"2016-10-14","62"
"327",15,"2016-10-14","64"
"328",16,"2016-10-14","65"
"329",17,"2016-10-14","74"
"330",18,"2016-10-14","81"
"331",19,"2016-10-14","85"
"332",20,"2016-10-14","88"
"333",21,"2016-10-14","92"
"334",22,"2016-10-14","94"
"335",23,"2016-10-14","96"
"336",24,"2016-10-14","97"
"337",1,"2016-10-15","97"
"338",2,"2016-10-15","98"
"339",3,"2016-10-15","98"
"340",4,"2016-10-15","98"
"341",5,"2016-10-15","98"
"342",6,"2016-10-15","97"
"343",7,"2016-10-15","98"
"344",8,"2016-10-15","90"
"345",9,"2016-10-15","81"
"346",10,"2016-10-15","69"
"347",11,"2016-10-15","66"
"348",12,"2016-10-15","63"
"349",13,"2016-10-15","61"
"350",14,"2016-10-15","58"
"351",15,"2016-10-15","59"
"352",16,"2016-10-15","60"
"353",17,"2016-10-15","73"
"354",18,"2016-10-15","87"
"355",19,"2016-10-15","92"
"356",20,"2016-10-15","95"
"357",21,"2016-10-15","97"
"358",22,"2016-10-15","97"
"359",23,"2016-10-15","97"
"360",24,"2016-10-15","96"
"361",1,"2016-10-16","97"
"362",2,"2016-10-16","97"
"363",3,"2016-10-16","97"
"364",4,"2016-10-16","98"
"365",5,"2016-10-16","98"
"366",6,"2016-10-16","98"
"367",7,"2016-10-16","97"
"368",8,"2016-10-16","83"
"369",9,"2016-10-16","70"
"370",10,"2016-10-16","66"
