"","Hour","variable","value"
"200",8,"2017-01-25","80"
"201",9,"2017-01-25","80"
"202",10,"2017-01-25","77"
"203",11,"2017-01-25","76"
"204",12,"2017-01-25","77"
"205",13,"2017-01-25","77"
"206",14,"2017-01-25","74"
"207",15,"2017-01-25","X"
"208",16,"2017-01-25","X"
"209",17,"2017-01-25","X"
"210",18,"2017-01-25","X"
"211",19,"2017-01-25","82"
"212",20,"2017-01-25","82"
"213",21,"2017-01-25","82"
"214",22,"2017-01-25","X"
"215",23,"2017-01-25","X"
"216",24,"2017-01-25","85"
"217",1,"2017-01-26","X"
"218",2,"2017-01-26","85"
"219",3,"2017-01-26","84"
"220",4,"2017-01-26","86"
"221",5,"2017-01-26","84"
"222",6,"2017-01-26","80"
"223",7,"2017-01-26","78"
"224",8,"2017-01-26","73"
"225",9,"2017-01-26","66"
"226",10,"2017-01-26","61"
"227",11,"2017-01-26","60"
"228",12,"2017-01-26","59"
"229",13,"2017-01-26","X"
"230",14,"2017-01-26","53"
"231",15,"2017-01-26","51"
"232",16,"2017-01-26","54"
"233",17,"2017-01-26","60"
"234",18,"2017-01-26","66"
"235",19,"2017-01-26","71"
"236",20,"2017-01-26","75"
"237",21,"2017-01-26","79"
"238",22,"2017-01-26","81"
"239",23,"2017-01-26","83"
"240",24,"2017-01-26","86"
"241",1,"2017-01-27","86"
"242",2,"2017-01-27","86"
"243",3,"2017-01-27","85"
"244",4,"2017-01-27","85"
"245",5,"2017-01-27","84"
"246",6,"2017-01-27","85"
"247",7,"2017-01-27","85"
"248",8,"2017-01-27","79"
"249",9,"2017-01-27","59"
"250",10,"2017-01-27","57"
"251",11,"2017-01-27","49"
"252",12,"2017-01-27","50"
"253",13,"2017-01-27","65"
"254",14,"2017-01-27","65"
"255",15,"2017-01-27","67"
"256",16,"2017-01-27","72"
"257",17,"2017-01-27","76"
"258",18,"2017-01-27","81"
"259",19,"2017-01-27","81"
"260",20,"2017-01-27","83"
"261",21,"2017-01-27","85"
"262",22,"2017-01-27","86"
"263",23,"2017-01-27","87"
"264",24,"2017-01-27","88"
"265",1,"2017-01-28","89"
"266",2,"2017-01-28","89"
"267",3,"2017-01-28","88"
"268",4,"2017-01-28","88"
"269",5,"2017-01-28","85"
"270",6,"2017-01-28","83"
"271",7,"2017-01-28","81"
"272",8,"2017-01-28","78"
"273",9,"2017-01-28","70"
"274",10,"2017-01-28","70"
"275",11,"2017-01-28","61"
"276",12,"2017-01-28","58"
"277",13,"2017-01-28","55"
"278",14,"2017-01-28","64"
"279",15,"2017-01-28","67"
"280",16,"2017-01-28","71"
"281",17,"2017-01-28","76"
"282",18,"2017-01-28","84"
"283",19,"2017-01-28","89"
"284",20,"2017-01-28","90"
"285",21,"2017-01-28","93"
"286",22,"2017-01-28","95"
"287",23,"2017-01-28","95"
"288",24,"2017-01-28","95"
"289",1,"2017-01-29","95"
"290",2,"2017-01-29","94"
"291",3,"2017-01-29","95"
"292",4,"2017-01-29","95"
"293",5,"2017-01-29","93"
"294",6,"2017-01-29","88"
"295",7,"2017-01-29","89"
"296",8,"2017-01-29","91"
"297",9,"2017-01-29","90"
"298",10,"2017-01-29","76"
"299",11,"2017-01-29","66"
"300",12,"2017-01-29","61"
"301",13,"2017-01-29","52"
"302",14,"2017-01-29","68"
"303",15,"2017-01-29","59"
"304",16,"2017-01-29","51"
"305",17,"2017-01-29","49"
"306",18,"2017-01-29","58"
"307",19,"2017-01-29","84"
"308",20,"2017-01-29","85"
"309",21,"2017-01-29","82"
"310",22,"2017-01-29","84"
"311",23,"2017-01-29","85"
"312",24,"2017-01-29","85"
"313",1,"2017-01-30","87"
"314",2,"2017-01-30","84"
"315",3,"2017-01-30","81"
"316",4,"2017-01-30","83"
"317",5,"2017-01-30","81"
"318",6,"2017-01-30","80"
"319",7,"2017-01-30","74"
"320",8,"2017-01-30","75"
"321",9,"2017-01-30","72"
"322",10,"2017-01-30","74"
"323",11,"2017-01-30","75"
"324",12,"2017-01-30","73"
"325",13,"2017-01-30","74"
"326",14,"2017-01-30","69"
"327",15,"2017-01-30","72"
"328",16,"2017-01-30","74"
"329",17,"2017-01-30","76"
"330",18,"2017-01-30","80"
"331",19,"2017-01-30","81"
"332",20,"2017-01-30","82"
"333",21,"2017-01-30","83"
"334",22,"2017-01-30","84"
