"","time","Hum"
"1",2017-02-20 01:00:00,"96"
"2",2017-02-20 02:00:00,"X"
"3",2017-02-20 03:00:00,"X"
"4",2017-02-20 04:00:00,"95"
"5",2017-02-20 05:00:00,"93"
"6",2017-02-20 06:00:00,"89"
"7",2017-02-20 07:00:00,"93"
"8",2017-02-20 08:00:00,"88"
"9",2017-02-20 09:00:00,"78"
"10",2017-02-20 10:00:00,"68"
"11",2017-02-20 11:00:00,"62"
"12",2017-02-20 12:00:00,"58"
"13",2017-02-20 13:00:00,"53"
"14",2017-02-20 14:00:00,"51"
"15",2017-02-20 15:00:00,"54"
"16",2017-02-20 16:00:00,"57"
"17",2017-02-20 17:00:00,"67"
"18",2017-02-20 18:00:00,"80"
"19",2017-02-20 19:00:00,"85"
"20",2017-02-20 20:00:00,"89"
"21",2017-02-20 21:00:00,"95"
"22",2017-02-20 22:00:00,"98"
"23",2017-02-20 23:00:00,"100"
"24",2017-02-21 00:00:00,"100"
"25",2017-02-21 01:00:00,"100"
"26",2017-02-21 02:00:00,"100"
"27",2017-02-21 03:00:00,"100"
"28",2017-02-21 04:00:00,"100"
"29",2017-02-21 05:00:00,"100"
"30",2017-02-21 06:00:00,"100"
"31",2017-02-21 07:00:00,"100"
"32",2017-02-21 08:00:00,"99"
"33",2017-02-21 09:00:00,"83"
"34",2017-02-21 10:00:00,"72"
"35",2017-02-21 11:00:00,"65"
"36",2017-02-21 12:00:00,"61"
"37",2017-02-21 13:00:00,"X"
"38",2017-02-21 14:00:00,"62"
"39",2017-02-21 15:00:00,"60"
"40",2017-02-21 16:00:00,"63"
"41",2017-02-21 17:00:00,"68"
"42",2017-02-21 18:00:00,"77"
"43",2017-02-21 19:00:00,"81"
"44",2017-02-21 20:00:00,"84"
"45",2017-02-21 21:00:00,"88"
"46",2017-02-21 22:00:00,"91"
"47",2017-02-21 23:00:00,"94"
"48",2017-02-22 00:00:00,"95"
"49",2017-02-22 01:00:00,"96"
"50",2017-02-22 02:00:00,"98"
"51",2017-02-22 03:00:00,"100"
"52",2017-02-22 04:00:00,"100"
"53",2017-02-22 05:00:00,"100"
"54",2017-02-22 06:00:00,"100"
"55",2017-02-22 07:00:00,"100"
"56",2017-02-22 08:00:00,"97"
"57",2017-02-22 09:00:00,"98"
"58",2017-02-22 10:00:00,"81"
"59",2017-02-22 11:00:00,"67"
"60",2017-02-22 12:00:00,"66"
"61",2017-02-22 13:00:00,"66"
"62",2017-02-22 14:00:00,"74"
"63",2017-02-22 15:00:00,"75"
"64",2017-02-22 16:00:00,"67"
"65",2017-02-22 17:00:00,"65"
"66",2017-02-22 18:00:00,"73"
"67",2017-02-22 19:00:00,"78"
"68",2017-02-22 20:00:00,"81"
"69",2017-02-22 21:00:00,"86"
"70",2017-02-22 22:00:00,"91"
"71",2017-02-22 23:00:00,"93"
"72",2017-02-23 00:00:00,"95"
"73",2017-02-23 01:00:00,"97"
"74",2017-02-23 02:00:00,"96"
"75",2017-02-23 03:00:00,"98"
"76",2017-02-23 04:00:00,"99"
"77",2017-02-23 05:00:00,"97"
"78",2017-02-23 06:00:00,"99"
"79",2017-02-23 07:00:00,"100"
"80",2017-02-23 08:00:00,"90"
"81",2017-02-23 09:00:00,"78"
"82",2017-02-23 10:00:00,"71"
"83",2017-02-23 11:00:00,"71"
"84",2017-02-23 12:00:00,"65"
"85",2017-02-23 13:00:00,"62"
"86",2017-02-23 14:00:00,"60"
"87",2017-02-23 15:00:00,"66"
"88",2017-02-23 16:00:00,"73"
"89",2017-02-23 17:00:00,"74"
"90",2017-02-23 18:00:00,"81"
"91",2017-02-23 19:00:00,"85"
"92",2017-02-23 20:00:00,"85"
"93",2017-02-23 21:00:00,"84"
"94",2017-02-23 22:00:00,"84"
"95",2017-02-23 23:00:00,"85"
"96",2017-02-24 00:00:00,"85"
"97",2017-02-24 01:00:00,"87"
"98",2017-02-24 02:00:00,"86"
"99",2017-02-24 03:00:00,"87"
"100",2017-02-24 04:00:00,"90"
"101",2017-02-24 05:00:00,"92"
"102",2017-02-24 06:00:00,"93"
"103",2017-02-24 07:00:00,"92"
"104",2017-02-24 08:00:00,"88"
"105",2017-02-24 09:00:00,"84"
"106",2017-02-24 10:00:00,"81"
"107",2017-02-24 11:00:00,"78"
"108",2017-02-24 12:00:00,"79"
"109",2017-02-24 13:00:00,"77"
"110",2017-02-24 14:00:00,"72"
"111",2017-02-24 15:00:00,"72"
"112",2017-02-24 16:00:00,"77"
"113",2017-02-24 17:00:00,"78"
"114",2017-02-24 18:00:00,"85"
"115",2017-02-24 19:00:00,"88"
"116",2017-02-24 20:00:00,"87"
"117",2017-02-24 21:00:00,"86"
"118",2017-02-24 22:00:00,"88"
"119",2017-02-24 23:00:00,"89"
"120",2017-02-25 00:00:00,"88"
"121",2017-02-25 01:00:00,"88"
"122",2017-02-25 02:00:00,"89"
"123",2017-02-25 03:00:00,"X"
"124",2017-02-25 04:00:00,"91"
