"","time","Tem"
"1",2017-02-20 01:00:00,"18.2"
"2",2017-02-20 02:00:00,"X"
"3",2017-02-20 03:00:00,"X"
"4",2017-02-20 04:00:00,"18.2"
"5",2017-02-20 05:00:00,"18.6"
"6",2017-02-20 06:00:00,"19.0"
"7",2017-02-20 07:00:00,"18.7"
"8",2017-02-20 08:00:00,"20.8"
"9",2017-02-20 09:00:00,"22.7"
"10",2017-02-20 10:00:00,"25.6"
"11",2017-02-20 11:00:00,"27.2"
"12",2017-02-20 12:00:00,"28.2"
"13",2017-02-20 13:00:00,"30.1"
"14",2017-02-20 14:00:00,"31.1"
"15",2017-02-20 15:00:00,"30.5"
"16",2017-02-20 16:00:00,"30.1"
"17",2017-02-20 17:00:00,"27.5"
"18",2017-02-20 18:00:00,"25.1"
"19",2017-02-20 19:00:00,"23.9"
"20",2017-02-20 20:00:00,"23.1"
"21",2017-02-20 21:00:00,"21.8"
"22",2017-02-20 22:00:00,"21.1"
"23",2017-02-20 23:00:00,"20.3"
"24",2017-02-21 00:00:00,"20.4"
"25",2017-02-21 01:00:00,"20.4"
"26",2017-02-21 02:00:00,"20.0"
"27",2017-02-21 03:00:00,"19.8"
"28",2017-02-21 04:00:00,"20.0"
"29",2017-02-21 05:00:00,"19.7"
"30",2017-02-21 06:00:00,"19.0"
"31",2017-02-21 07:00:00,"18.5"
"32",2017-02-21 08:00:00,"19.3"
"33",2017-02-21 09:00:00,"22.5"
"34",2017-02-21 10:00:00,"24.6"
"35",2017-02-21 11:00:00,"26.7"
"36",2017-02-21 12:00:00,"27.7"
"37",2017-02-21 13:00:00,"X"
"38",2017-02-21 14:00:00,"26.7"
"39",2017-02-21 15:00:00,"27.1"
"40",2017-02-21 16:00:00,"26.4"
"41",2017-02-21 17:00:00,"24.7"
"42",2017-02-21 18:00:00,"22.5"
"43",2017-02-21 19:00:00,"21.6"
"44",2017-02-21 20:00:00,"21.1"
"45",2017-02-21 21:00:00,"20.5"
"46",2017-02-21 22:00:00,"19.8"
"47",2017-02-21 23:00:00,"19.1"
"48",2017-02-22 00:00:00,"19.2"
"49",2017-02-22 01:00:00,"18.8"
"50",2017-02-22 02:00:00,"18.7"
"51",2017-02-22 03:00:00,"18.4"
"52",2017-02-22 04:00:00,"18.1"
"53",2017-02-22 05:00:00,"17.9"
"54",2017-02-22 06:00:00,"17.9"
"55",2017-02-22 07:00:00,"18.2"
"56",2017-02-22 08:00:00,"19.3"
"57",2017-02-22 09:00:00,"20.6"
"58",2017-02-22 10:00:00,"23.8"
"59",2017-02-22 11:00:00,"26.5"
"60",2017-02-22 12:00:00,"26.8"
"61",2017-02-22 13:00:00,"27.1"
"62",2017-02-22 14:00:00,"24.8"
"63",2017-02-22 15:00:00,"24.8"
"64",2017-02-22 16:00:00,"26.8"
"65",2017-02-22 17:00:00,"27.2"
"66",2017-02-22 18:00:00,"25.3"
"67",2017-02-22 19:00:00,"24.4"
"68",2017-02-22 20:00:00,"24.0"
"69",2017-02-22 21:00:00,"23.2"
"70",2017-02-22 22:00:00,"22.5"
"71",2017-02-22 23:00:00,"22.2"
"72",2017-02-23 00:00:00,"21.9"
"73",2017-02-23 01:00:00,"21.2"
"74",2017-02-23 02:00:00,"21.5"
"75",2017-02-23 03:00:00,"21.4"
