"","time","Hum"
"1",2017-03-14 01:00:00,"88"
"2",2017-03-14 02:00:00,"88"
"3",2017-03-14 03:00:00,"89"
"4",2017-03-14 04:00:00,"91"
"5",2017-03-14 05:00:00,"88"
"6",2017-03-14 06:00:00,"87"
"7",2017-03-14 07:00:00,"90"
"8",2017-03-14 08:00:00,"90"
"9",2017-03-14 09:00:00,"86"
"10",2017-03-14 10:00:00,"83"
"11",2017-03-14 11:00:00,"77"
"12",2017-03-14 12:00:00,"68"
"13",2017-03-14 13:00:00,"63"
"14",2017-03-14 14:00:00,"62"
"15",2017-03-14 15:00:00,"64"
"16",2017-03-14 16:00:00,"63"
"17",2017-03-14 17:00:00,"69"
"18",2017-03-14 18:00:00,"71"
"19",2017-03-14 19:00:00,"72"
"20",2017-03-14 20:00:00,"X"
"21",2017-03-14 21:00:00,"74"
"22",2017-03-14 22:00:00,"76"
"23",2017-03-14 23:00:00,"76"
"24",2017-03-15 00:00:00,"79"
"25",2017-03-15 01:00:00,"81"
"26",2017-03-15 02:00:00,"X"
"27",2017-03-15 03:00:00,"79"
"28",2017-03-15 04:00:00,"77"
"29",2017-03-15 05:00:00,"79"
"30",2017-03-15 06:00:00,"80"
"31",2017-03-15 07:00:00,"81"
"32",2017-03-15 08:00:00,"79"
"33",2017-03-15 09:00:00,"75"
"34",2017-03-15 10:00:00,"71"
"35",2017-03-15 11:00:00,"63"
"36",2017-03-15 12:00:00,"62"
"37",2017-03-15 13:00:00,"65"
"38",2017-03-15 14:00:00,"64"
"39",2017-03-15 15:00:00,"61"
"40",2017-03-15 16:00:00,"60"
"41",2017-03-15 17:00:00,"62"
"42",2017-03-15 18:00:00,"67"
"43",2017-03-15 19:00:00,"76"
"44",2017-03-15 20:00:00,"75"
"45",2017-03-15 21:00:00,"75"
"46",2017-03-15 22:00:00,"80"
"47",2017-03-15 23:00:00,"82"
"48",2017-03-16 00:00:00,"81"
"49",2017-03-16 01:00:00,"82"
"50",2017-03-16 02:00:00,"79"
"51",2017-03-16 03:00:00,"81"
"52",2017-03-16 04:00:00,"78"
"53",2017-03-16 05:00:00,"80"
"54",2017-03-16 06:00:00,"85"
"55",2017-03-16 07:00:00,"82"
"56",2017-03-16 08:00:00,"80"
"57",2017-03-16 09:00:00,"73"
"58",2017-03-16 10:00:00,"64"
"59",2017-03-16 11:00:00,"60"
"60",2017-03-16 12:00:00,"61"
"61",2017-03-16 13:00:00,"64"
"62",2017-03-16 14:00:00,"63"
"63",2017-03-16 15:00:00,"67"
"64",2017-03-16 16:00:00,"71"
"65",2017-03-16 17:00:00,"74"
"66",2017-03-16 18:00:00,"79"
"67",2017-03-16 19:00:00,"82"
"68",2017-03-16 20:00:00,"86"
"69",2017-03-16 21:00:00,"85"
"70",2017-03-16 22:00:00,"85"
"71",2017-03-16 23:00:00,"87"
"72",2017-03-17 00:00:00,"87"
"73",2017-03-17 01:00:00,"87"
"74",2017-03-17 02:00:00,"90"
"75",2017-03-17 03:00:00,"95"
"76",2017-03-17 04:00:00,"95"
"77",2017-03-17 05:00:00,"96"
"78",2017-03-17 06:00:00,"99"
"79",2017-03-17 07:00:00,"99"
"80",2017-03-17 08:00:00,"86"
"81",2017-03-17 09:00:00,"78"
"82",2017-03-17 10:00:00,"69"
"83",2017-03-17 11:00:00,"64"
"84",2017-03-17 12:00:00,"62"
"85",2017-03-17 13:00:00,"60"
"86",2017-03-17 14:00:00,"59"
"87",2017-03-17 15:00:00,"59"
"88",2017-03-17 16:00:00,"63"
"89",2017-03-17 17:00:00,"69"
"90",2017-03-17 18:00:00,"77"
"91",2017-03-17 19:00:00,"81"
"92",2017-03-17 20:00:00,"85"
"93",2017-03-17 21:00:00,"88"
"94",2017-03-17 22:00:00,"89"
"95",2017-03-17 23:00:00,"88"
"96",2017-03-18 00:00:00,"88"
"97",2017-03-18 01:00:00,"91"
"98",2017-03-18 02:00:00,"91"
"99",2017-03-18 03:00:00,"91"
"100",2017-03-18 04:00:00,"93"
"101",2017-03-18 05:00:00,"95"
"102",2017-03-18 06:00:00,"97"
"103",2017-03-18 07:00:00,"98"
"104",2017-03-18 08:00:00,"93"
"105",2017-03-18 09:00:00,"85"
"106",2017-03-18 10:00:00,"77"
"107",2017-03-18 11:00:00,"69"
"108",2017-03-18 12:00:00,"58"
"109",2017-03-18 13:00:00,"58"
"110",2017-03-18 14:00:00,"59"
"111",2017-03-18 15:00:00,"56"
"112",2017-03-18 16:00:00,"69"
"113",2017-03-18 17:00:00,"71"
"114",2017-03-18 18:00:00,"74"
"115",2017-03-18 19:00:00,"80"
"116",2017-03-18 20:00:00,"84"
"117",2017-03-18 21:00:00,"80"
"118",2017-03-18 22:00:00,"85"
"119",2017-03-18 23:00:00,"89"
"120",2017-03-19 00:00:00,"91"
"121",2017-03-19 01:00:00,"92"
"122",2017-03-19 02:00:00,"93"
"123",2017-03-19 03:00:00,"93"
"124",2017-03-19 04:00:00,"96"
"125",2017-03-19 05:00:00,"98"
"126",2017-03-19 06:00:00,"99"
"127",2017-03-19 07:00:00,"99"
"128",2017-03-19 08:00:00,"92"
"129",2017-03-19 09:00:00,"81"
"130",2017-03-19 10:00:00,"64"
"131",2017-03-19 11:00:00,"52"
"132",2017-03-19 12:00:00,"66"
"133",2017-03-19 13:00:00,"68"
"134",2017-03-19 14:00:00,"71"
"135",2017-03-19 15:00:00,"67"
"136",2017-03-19 16:00:00,"69"
"137",2017-03-19 17:00:00,"72"
"138",2017-03-19 18:00:00,"74"
"139",2017-03-19 19:00:00,"80"
"140",2017-03-19 20:00:00,"84"
"141",2017-03-19 21:00:00,"86"
"142",2017-03-19 22:00:00,"90"
"143",2017-03-19 23:00:00,"91"
"144",2017-03-20 00:00:00,"94"
