,id,engName
98,C0D660,"Dongqu, Hsinshu City"
99,C0E420,Jhunan
100,C0E430,Nanzhuang
101,C0E520,Dahu
102,C0E530,Sanyi
103,C0E540,Houlong
104,C0E550,Mingde
105,C0E590,Tucheng
106,C0E610,Madu-an
107,C0E730,Toufen
108,C0E740,Zaoqiao
109,C0E750,Miaoli
110,C0E780,Tongluo
111,C0E790,Zhuolan
112,C0E810,Xihu
113,C0E820,Shitan
114,C0E830,YUANLI
115,C0E850,Dahe
116,C0E860,Kuang-Wu2
117,C0F000,Dadu
118,C0F0A0,Xueshanjuangu
119,C0F0B0,Shigang
120,C0F850,Dongshi
121,C0F861,Lishan
122,C0F900,Shuangci
123,C0F930,Dajia
124,C0F970,Dakeng
125,C0F9A0,Zhongzhulin
126,C0F9I0,Shengang
127,C0F9K0,Da-an
128,C0F9L0,Houli
129,C0F9M0,Fengyuan
130,C0F9N0,Dali
131,C0F9O0,Tanzi
132,C0F9P0,Qingshui
133,C0F9Q0,Waipu
134,C0F9R0,Longjing
135,C0F9S0,Wuri
136,C0F9T0,Xitun
137,C0F9U0,Nantun
138,C0F9V0,Xinshe
139,C0F90,Daya
140,C0F9Y0,Taoshan
141,C0F9Z0,Xueshandongfeng
142,C0G620,Fenyuan
143,C0G640,Lukang
144,C0G650,Yuanlin
145,C0G660,Xihu
146,C0G720,Xizhou
147,C0G730,Erlin
148,C0G740,Dacheng
149,C0G750,Zhutang
150,C0G770,Fuxing
151,C0G780,Xiushui
152,C0G790,Huatan
153,C0G800,Puyan
154,C0G810,Puxin
155,C0G820,Tianwei
156,C0G830,Pitou
157,C0G840,Beidou
158,C0G850,Tianzhong
159,C0G860,Shetou
160,C0G870,Fangyuan
161,C0G880,Ershui
162,C0G890,Shenggang
163,C0H890,Puli
164,C0H950,Zhongliao
165,C0H960,Caotun
166,C0H990,Kunyang
167,C0H9A0,Shenmu Village
168,C0H9C0,Hehuan Mountain
169,C0I010,Lushan
170,C0I080,Xinyi
171,C0I090,Fonghuang
172,C0I110,Zhushan
173,C0I360,Shuili
174,C0I370,Yuchi
175,C0I380,Jiji
176,C0I390,Ren&#039;ai
177,C0I410,Mingjian
178,C0I420,Guoxing
179,C0I460,Nantou
180,C0I480,Meifeng
181,C0I490,Wandalindao
182,C0I520,Yushanfengkou
183,C0K240,Caoling
184,C0K250,Lunbei
185,C0K280,Sihu
186,C0K291,Yiwu
187,C0K330,Huwei
188,C0K390,Tuku
189,C0K400,Douliu
190,C0K410,Beigang
191,C0K420,Xiluo
192,C0K430,Baozhong
193,C0K440,Erlun
194,C0K450,Dapi
195,C0K460,Dounan
196,C0K470,Linnei
197,C0K480,Citong
198,C0K490,Gukeng
199,C0K500,Yuanchang
200,C0K510,Shuilin
201,C0K520,Dongshi Yunlin County
202,C0K530,Taixi
203,C0K550,Niaosong
204,C0K560,Qishan
205,C0M410,Matoushan
206,C0M520,Donghouliao
207,C0M530,Fenqihu
208,C0M640,Zhongpu
209,C0M650,Puzi
210,C0M660,Xikou
211,C0M670,Dalin
212,C0M680,Taibao
213,C0M690,Shuishang
214,C0M700,Zhuqi
215,C0M710,Dongshi
216,C0M720,Fanlu
217,C0M730,Dongqu Chiayi City
218,C0M740,Liujiao
219,C0M750,Budai
220,C0M760,Minxiong
221,C0M770,Meishan Chiayi County
222,C0M780,Lucao
223,C0M790,Xingang
224,C0M800,Chashan
225,C0M810,Lijia
226,C0M820,Dabang
227,C0M830,Shanmei
228,C0O810,Cengwen
229,C0O830,Beiliao
230,C0O840,Wangyegong
231,C0O860,Danei
232,C0O900,Shanhua
233,C0O930,Yujing
234,C0O950,Annan
235,C0O960,Qiding
236,C0O970,Hutoupi
237,C0O980,Xinshi
238,C0O990,Mamiao
239,C0R100,Weiliaoshan
240,C0R130,Ali
241,C0R140,Majia
242,C0R150,Sandimen
243,C0R160,yanpuxinwei
244,C0R170,Pingdong
245,C0R190,Chishan
246,C0R220,Chaojhou
247,C0R240,Laiyi
248,C0R260,Chunri
249,C0R270,Liouciouyu
250,C0R280,Binlang
251,C0R350,Maobitou
252,C0R360,Kenting
253,C0R370,Jialeshuei
254,C0R380,Fangliao
255,C0R400,Fongkung
256,C0R420,Mudanchihshan
257,C0R430,Donggang
258,C0R470,Gaoshu
259,C0R480,Changzhi
260,C0R490,Jiuru
261,C0R500,Zhutian
262,C0R510,WanDan
263,C0R520,Kanding
264,C0R530,Linbian
265,C0R540,Jiadong
266,C0R550,Xinpi
267,C0R560,Xinyuan
268,C0R570,Linluo
269,C0R580,Nanzhou
270,C0R590,Ligang
271,C0R600,Jiutaiwu
272,C0R620,Kenlei
273,C0S680,Hongyeshan
274,C0S690,Taimali
275,C0S700,Jhihben
276,C0S710,Luye
277,C0S730,Ludao
278,C0S740,Chihshang
279,C0S750,Siangyang
280,C0S760,Hongshih
281,C0S770,Dasishan
282,C0S790,Jinlun
283,C0S810,Donghe
284,C0S830,Changbin
285,C0S840,Nantian
286,C0S890,Guanshan
287,C0T790,Dayuling
288,C0T820,Tiansiang
289,C0T841,Sincheng
290,C0T870,Liyutan
291,C0T900,Xilin
292,C0T960,Guangfu
